Counter,Zip,Error
12400,99576,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: B92LCN4IFHMTS0BEQOR1U5UO9JVV4KQNSO5AEMVJF66Q9ASUAAJG
12413,99664,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: IOMTELQKC87UQB3SJILVNHB90FVV4KQNSO5AEMVJF66Q9ASUAAJG
12443,89835,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: VS24BREKCJ0HM8SCIQNG357IVRVV4KQNSO5AEMVJF66Q9ASUAAJG
12559,82443,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: GIKCN8CFFS55O57JGU41T32M23VV4KQNSO5AEMVJF66Q9ASUAAJG
12570,82633,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: MQ08TDANCRASENR81U9S5G4ELVVV4KQNSO5AEMVJF66Q9ASUAAJG
12585,82520,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: BTHI3H2JMNS7FPIP7SBL65J9FVVV4KQNSO5AEMVJF66Q9ASUAAJG
12649,97467,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: 96GMR102V2HAS37R08DCLE4IQBVV4KQNSO5AEMVJF66Q9ASUAAJG
12667,97754,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: B0JERKMGTPEDD86VLEKMTTT6M7VV4KQNSO5AEMVJF66Q9ASUAAJG
12671,97630,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: E2DIHEKHR7QBD1POLL6IQSDS47VV4KQNSO5AEMVJF66Q9ASUAAJG
12678,97720,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: H7DLS3SFGQGEF57COGTQE1U3BFVV4KQNSO5AEMVJF66Q9ASUAAJG
12761,99768,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: F5MHRTKFRATL39R1SAJCRH3R67VV4KQNSO5AEMVJF66Q9ASUAAJG
12773,99833,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: 4CBGA80GSVQ4P5QIHI08TAJ6F7VV4KQNSO5AEMVJF66Q9ASUAAJG
12818,99740,ValidationException: Item size has exceeded the maximum allowed size status code: 400, request id: JUFK4QMTJGA7VR8VT4P73EHCBVVV4KQNSO5AEMVJF66Q9ASUAAJG
